Item;Price;Category;Name;Note
Bier;10,49;Alcohol;Adrian;
Cola;1,19;Drink;Adrian;
Wasser;0,54;Drink;Adrian;2 Flaschen angebrochen
Tee;1,29;Alcohol;Adrian;
Limette;0,99;Alcohol;Adrian;
Rum;5,99;Alcohol;Adrian;
Zwiebeln;1,99;Food;Adrian;
Ingwer;0,88;Food;Adrian;
Linsen;3,98;Food;Adrian;
Currypaste;2,99;Food;Adrian;
Tomaten;1,58;Food;Adrian;
Kokosmilch;2,49;Food;Adrian;
Limettensaft;2,49;Food;Adrian;
Reis;1,49;Food;Adrian;
Eistee;4,5;Drink;Tom;Hälfte getrunken 
Limo;6,75;Drink;Tom;Hälfte getrunken 
Sinalco;2,64;Drink;Tom;Drittel getrunken
Chips;3;Food;Moritz;Preis geraten
Snacks;5;Food;Jannis;Preis geraten
